data_source,threshold,scenario,total_trades,wins,losses,win_rate,total_staked,profit,roi_pct,max_drawdown,max_drawdown_pct,avg_edge,avg_market_prob,avg_effective_odds,avg_commission_paid,total_commission,total_slippage_cost
single_timestamp,0.03,gross,212,171,41,0.8066,212,105.33,49.68,5.32,2.51,0.3105,0.5948,2.0207,0.0,0.0,0.0
single_timestamp,0.05,gross,210,169,41,0.8048,210,105.26,50.12,5.32,2.53,0.3155,0.5914,2.03,0.0,0.0,0.0
single_timestamp,0.07,gross,201,160,41,0.796,201,104.91,52.19,5.46,2.72,0.3295,0.576,2.0744,0.0,0.0,0.0
single_timestamp,0.1,gross,192,153,39,0.7969,192,106.23,55.33,4.46,2.32,0.3442,0.562,2.1191,0.0,0.0,0.0
single_timestamp,0.15,gross,176,140,36,0.7955,176,107.4,61.02,4.47,2.54,0.3705,0.5357,2.2068,0.0,0.0,0.0
single_timestamp,0.03,realistic,211,170,41,0.8057,211,94.79,44.93,5.41,2.56,0.3134,0.5931,2.0055,0.0339,7.15,4.18
single_timestamp,0.05,realistic,206,165,41,0.801,206,94.7,45.97,5.41,2.63,0.321,0.5845,2.0295,0.0347,7.14,4.1
single_timestamp,0.07,realistic,198,158,40,0.798,198,95.47,48.22,5.51,2.78,0.3349,0.5712,2.0692,0.036,7.13,3.96
single_timestamp,0.1,realistic,188,151,37,0.8032,188,97.99,52.12,4.53,2.41,0.3522,0.556,2.1197,0.0378,7.1,3.76
single_timestamp,0.15,realistic,175,139,36,0.7943,175,97.42,55.67,4.53,2.59,0.373,0.534,2.1926,0.0401,7.02,3.5
single_timestamp,0.03,worst_case,211,170,41,0.8057,211,88.19,41.79,5.47,2.59,0.3134,0.5931,1.9861,0.0496,10.47,8.28
single_timestamp,0.05,worst_case,206,165,41,0.801,206,88.14,42.79,5.47,2.66,0.321,0.5845,2.0098,0.0508,10.47,8.15
single_timestamp,0.07,worst_case,198,158,40,0.798,198,88.98,44.94,5.54,2.8,0.3349,0.5712,2.0492,0.0528,10.46,7.92
single_timestamp,0.1,worst_case,188,151,37,0.8032,188,91.64,48.74,4.58,2.44,0.3522,0.556,2.0997,0.0555,10.43,7.52
single_timestamp,0.15,worst_case,175,139,36,0.7943,175,91.34,52.19,4.58,2.62,0.373,0.534,2.1726,0.059,10.32,7.0
per_over_aligned,0.03,gross,211,171,40,0.8104,211,131.47,62.31,5.04,2.39,0.3522,0.5478,2.1685,0.0,0.0,0.0
per_over_aligned,0.05,gross,209,169,40,0.8086,209,131.45,62.89,5.04,2.41,0.3568,0.5438,2.1796,0.0,0.0,0.0
per_over_aligned,0.07,gross,206,166,40,0.8058,206,131.5,63.83,5.04,2.45,0.3622,0.5377,2.197,0.0,0.0,0.0
per_over_aligned,0.1,gross,201,161,40,0.801,201,130.81,65.08,5.04,2.51,0.371,0.5295,2.2233,0.0,0.0,0.0
per_over_aligned,0.15,gross,193,155,38,0.8031,193,132.01,68.4,4.17,2.16,0.383,0.5163,2.2678,0.0,0.0,0.0
per_over_aligned,0.03,realistic,211,171,40,0.8104,211,119.73,56.75,5.14,2.44,0.3532,0.5475,2.1489,0.0398,8.41,4.19
per_over_aligned,0.05,realistic,207,167,40,0.8068,207,119.68,57.81,5.14,2.49,0.3597,0.5399,2.1708,0.0406,8.4,4.13
per_over_aligned,0.07,realistic,206,166,40,0.8058,206,119.78,58.15,5.14,2.5,0.363,0.5376,2.177,0.0408,8.41,4.12
per_over_aligned,0.1,realistic,199,161,38,0.809,199,121.27,60.94,4.14,2.08,0.3742,0.5267,2.2135,0.0421,8.38,3.98
per_over_aligned,0.15,realistic,190,152,38,0.8,190,120.1,63.21,4.51,2.37,0.3879,0.5115,2.2649,0.0438,8.32,3.8
per_over_aligned,0.03,worst_case,211,171,40,0.8104,211,112.44,53.29,5.22,2.48,0.3532,0.5475,2.1293,0.0586,12.36,8.33
per_over_aligned,0.05,worst_case,207,167,40,0.8068,207,112.4,54.3,5.22,2.52,0.3597,0.5399,2.1509,0.0597,12.36,8.25
per_over_aligned,0.07,worst_case,206,166,40,0.8058,206,112.5,54.61,5.22,2.54,0.363,0.5376,2.157,0.06,12.37,8.24
per_over_aligned,0.1,worst_case,199,161,38,0.809,199,114.1,57.34,4.22,2.12,0.3742,0.5267,2.1935,0.062,12.33,7.96
per_over_aligned,0.15,worst_case,190,152,38,0.8,190,113.13,59.54,4.54,2.39,0.3879,0.5115,2.2449,0.0645,12.25,7.6
