team,rating,matches_played,wins,losses
Royal Challengers Bengaluru,1574.89,30,18,12
Gujarat Titans,1557.06,58,36,22
Rising Pune Supergiant,1546.35,16,10,6
Kolkata Knight Riders,1545.82,250,131,119
Royal Challengers Bangalore,1535.55,231,111,120
Mumbai Indians,1535.13,272,151,121
Delhi Capitals,1524.8,100,51,49
Punjab Kings,1522.4,71,33,38
Lucknow Super Giants,1515.76,57,30,27
Sunrisers Hyderabad,1503.62,186,91,95
Rajasthan Royals,1495.6,227,113,114
Chennai Super Kings,1491.79,245,139,106
Kochi Tuskers Kerala,1475.9,13,5,8
Gujarat Lions,1471.9,29,13,16
Kings XI Punjab,1471.0,180,83,97
Rising Pune Supergiants,1463.35,11,3,8
Delhi Daredevils,1454.47,152,65,87
Deccan Chargers,1434.73,75,29,46
Pune Warriors,1379.88,45,12,33
