match_id,season,date,venue,team_1,team_2,pre_match_rating_team_1,pre_match_rating_team_2,rating_difference,expected_win_probability_team_1,expected_win_probability_team_2,winner,post_match_rating_team_1,post_match_rating_team_2
335982,2007/08,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,1500,1500,0,0.5,0.5,Kolkata Knight Riders,1490.0,1510.0
335983,2007/08,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,1500,1500,0,0.5,0.5,Chennai Super Kings,1490.0,1510.0
335984,2007/08,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,1500,1500,0,0.5,0.5,Delhi Daredevils,1510.0,1490.0
335985,2007/08,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,1500,1490.0,10.0,0.5144,0.4856,Royal Challengers Bangalore,1489.71,1500.29
335986,2007/08,2008-04-20,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,1510.0,1500,10.0,0.5144,0.4856,Kolkata Knight Riders,1519.71,1490.29
335987,2007/08,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,1490.0,1490.0,0.0,0.5,0.5,Rajasthan Royals,1500.0,1480.0
335988,2007/08,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,1490.29,1510.0,-19.71,0.4717,0.5283,Delhi Daredevils,1480.86,1519.43
335989,2007/08,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,1510.0,1489.71,20.29,0.5292,0.4708,Chennai Super Kings,1519.42,1480.29
335990,2007/08,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,1480.86,1500.0,-19.14,0.4725,0.5275,Rajasthan Royals,1471.41,1509.45
335991,2007/08,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,1480.0,1480.29,-0.29,0.4996,0.5004,Kings XI Punjab,1490.01,1470.28
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,1500.29,1509.45,-9.16,0.4868,0.5132,Rajasthan Royals,1490.55,1519.19
335993,2007/08,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,1519.42,1519.71,-0.29,0.4996,0.5004,Chennai Super Kings,1529.43,1509.7
335994,2007/08,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,1470.28,1471.41,-1.13,0.4984,0.5016,Deccan Chargers,1460.31,1481.38
335995,2007/08,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,1490.01,1519.43,-29.42,0.4578,0.5422,Kings XI Punjab,1500.85,1508.59
335996,2007/08,2008-04-28,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,1490.55,1529.43,-38.88,0.4443,0.5557,Chennai Super Kings,1481.66,1538.32
335997,2007/08,2008-04-29,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,1509.7,1460.31,49.39,0.5706,0.4294,Mumbai Indians,1498.29,1471.72
335998,2007/08,2008-04-30,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,1508.59,1481.66,26.93,0.5387,0.4613,Delhi Daredevils,1517.82,1472.43
335999,2007/08,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,1481.38,1500.85,-19.47,0.472,0.528,Kings XI Punjab,1471.94,1510.29
336000,2007/08,2008-05-01,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,1519.19,1498.29,20.9,0.53,0.47,Rajasthan Royals,1528.59,1488.89
336001,2007/08,2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,1538.32,1517.82,20.5,0.5295,0.4705,Delhi Daredevils,1527.73,1528.41
336003,2007/08,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,1510.29,1488.89,21.4,0.5308,0.4692,Kings XI Punjab,1519.67,1479.51
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,1472.43,1471.94,0.49,0.5007,0.4993,Royal Challengers Bangalore,1482.42,1461.95
336004,2007/08,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,1471.72,1528.41,-56.69,0.4191,0.5809,Mumbai Indians,1483.34,1516.79
336005,2007/08,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,1528.59,1527.73,0.86,0.5012,0.4988,Rajasthan Royals,1538.57,1517.75
336006,2007/08,2008-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,1482.42,1519.67,-37.25,0.4466,0.5534,Kings XI Punjab,1473.49,1528.6
336007,2007/08,2008-05-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,1517.75,1461.95,55.8,0.5796,0.4204,Deccan Chargers,1506.16,1473.54
336008,2007/08,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,1483.34,1538.57,-55.23,0.4212,0.5788,Mumbai Indians,1494.92,1526.99
336009,2007/08,2008-05-08,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,1516.79,1506.16,10.63,0.5153,0.4847,Chennai Super Kings,1506.48,1516.47
336010,2007/08,2008-05-08,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,1479.51,1473.49,6.02,0.5087,0.4913,Kolkata Knight Riders,1489.34,1463.66
336011,2007/08,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,1526.99,1473.54,53.45,0.5763,0.4237,Rajasthan Royals,1535.46,1465.07
336013,2007/08,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,1516.47,1528.6,-12.13,0.4826,0.5174,Chennai Super Kings,1526.82,1518.25
336014,2007/08,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,1465.07,1489.34,-24.27,0.4651,0.5349,Kolkata Knight Riders,1455.77,1498.64
336015,2007/08,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,1535.46,1506.48,28.98,0.5416,0.4584,Rajasthan Royals,1544.63,1497.31
336016,2007/08,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,1518.25,1463.66,54.59,0.5779,0.4221,Kings XI Punjab,1526.69,1455.22
336017,2007/08,2008-05-13,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,1498.64,1497.31,1.33,0.5019,0.4981,Kolkata Knight Riders,1508.6,1487.35
336018,2007/08,2008-05-14,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,1494.92,1526.82,-31.9,0.4542,0.5458,Mumbai Indians,1505.84,1515.9
