match_id,season,date,innings_number,over_number,batting_team,bowling_team,final_stabilized_probability,eventual_winner
1216492,2020/21,2020-09-19,2,18,Chennai Super Kings,Mumbai Indians,0.8545,Chennai Super Kings
1216492,2020/21,2020-09-19,2,19,Chennai Super Kings,Mumbai Indians,0.9851,Chennai Super Kings
1216492,2020/21,2020-09-19,2,20,Chennai Super Kings,Mumbai Indians,0.858,Chennai Super Kings
1216494,2020/21,2020-10-21,2,5,Royal Challengers Bengaluru,Kolkata Knight Riders,0.9286,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,6,Royal Challengers Bengaluru,Kolkata Knight Riders,0.9286,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,10,Royal Challengers Bengaluru,Kolkata Knight Riders,0.94,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,11,Royal Challengers Bengaluru,Kolkata Knight Riders,1.0,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,12,Royal Challengers Bengaluru,Kolkata Knight Riders,1.0,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,13,Royal Challengers Bengaluru,Kolkata Knight Riders,1.0,Royal Challengers Bengaluru
1216494,2020/21,2020-10-21,2,14,Royal Challengers Bengaluru,Kolkata Knight Riders,1.0,Royal Challengers Bengaluru
1216495,2020/21,2020-11-03,2,7,Sunrisers Hyderabad,Mumbai Indians,0.9322,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,8,Sunrisers Hyderabad,Mumbai Indians,0.9322,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,9,Sunrisers Hyderabad,Mumbai Indians,0.9322,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,10,Sunrisers Hyderabad,Mumbai Indians,0.9322,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,11,Sunrisers Hyderabad,Mumbai Indians,0.9646,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,12,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,13,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,14,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,15,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,16,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,17,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216495,2020/21,2020-11-03,2,18,Sunrisers Hyderabad,Mumbai Indians,1.0,Sunrisers Hyderabad
1216498,2020/21,2020-10-24,2,4,Sunrisers Hyderabad,Punjab Kings,0.8516,Punjab Kings
1216498,2020/21,2020-10-24,2,5,Sunrisers Hyderabad,Punjab Kings,0.8516,Punjab Kings
1216498,2020/21,2020-10-24,2,6,Sunrisers Hyderabad,Punjab Kings,0.8516,Punjab Kings
1216498,2020/21,2020-10-24,2,7,Sunrisers Hyderabad,Punjab Kings,0.8585,Punjab Kings
1216498,2020/21,2020-10-24,2,16,Sunrisers Hyderabad,Punjab Kings,0.9009,Punjab Kings
1216501,2020/21,2020-10-07,2,10,Chennai Super Kings,Kolkata Knight Riders,0.8585,Kolkata Knight Riders
1216501,2020/21,2020-10-07,2,11,Chennai Super Kings,Kolkata Knight Riders,0.8624,Kolkata Knight Riders
1216501,2020/21,2020-10-07,2,12,Chennai Super Kings,Kolkata Knight Riders,0.8624,Kolkata Knight Riders
1216502,2020/21,2020-10-31,2,4,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.8516,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,5,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.94,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,6,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.94,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,11,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.9,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,12,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.9,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,14,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.9868,Sunrisers Hyderabad
1216502,2020/21,2020-10-31,2,15,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.9868,Sunrisers Hyderabad
1216505,2020/21,2020-11-02,2,4,Delhi Capitals,Royal Challengers Bengaluru,0.8516,Delhi Capitals
1216505,2020/21,2020-11-02,2,6,Delhi Capitals,Royal Challengers Bengaluru,0.8516,Delhi Capitals
1216505,2020/21,2020-11-02,2,7,Delhi Capitals,Royal Challengers Bengaluru,0.8585,Delhi Capitals
1216505,2020/21,2020-11-02,2,8,Delhi Capitals,Royal Challengers Bengaluru,0.8585,Delhi Capitals
1216505,2020/21,2020-11-02,2,11,Delhi Capitals,Royal Challengers Bengaluru,0.8624,Delhi Capitals
1216505,2020/21,2020-11-02,2,12,Delhi Capitals,Royal Challengers Bengaluru,1.0,Delhi Capitals
1216505,2020/21,2020-11-02,2,13,Delhi Capitals,Royal Challengers Bengaluru,0.9,Delhi Capitals
1216505,2020/21,2020-11-02,2,14,Delhi Capitals,Royal Challengers Bengaluru,0.9,Delhi Capitals
1216505,2020/21,2020-11-02,2,15,Delhi Capitals,Royal Challengers Bengaluru,0.9,Delhi Capitals
1216505,2020/21,2020-11-02,2,16,Delhi Capitals,Royal Challengers Bengaluru,0.965,Delhi Capitals
1216505,2020/21,2020-11-02,2,17,Delhi Capitals,Royal Challengers Bengaluru,0.965,Delhi Capitals
1216506,2020/21,2020-11-01,2,7,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216506,2020/21,2020-11-01,2,8,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216506,2020/21,2020-11-01,2,10,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216506,2020/21,2020-11-01,2,11,Chennai Super Kings,Punjab Kings,0.8624,Chennai Super Kings
1216506,2020/21,2020-11-01,2,12,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216506,2020/21,2020-11-01,2,13,Chennai Super Kings,Punjab Kings,0.8624,Chennai Super Kings
1216506,2020/21,2020-11-01,2,14,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216506,2020/21,2020-11-01,2,15,Chennai Super Kings,Punjab Kings,0.8624,Chennai Super Kings
1216506,2020/21,2020-11-01,2,18,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216506,2020/21,2020-11-01,2,19,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216509,2020/21,2020-10-17,2,20,Delhi Capitals,Chennai Super Kings,0.858,Delhi Capitals
1216513,2020/21,2020-10-04,2,8,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216513,2020/21,2020-10-04,2,9,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216513,2020/21,2020-10-04,2,10,Chennai Super Kings,Punjab Kings,0.8971,Chennai Super Kings
1216513,2020/21,2020-10-04,2,11,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216513,2020/21,2020-10-04,2,12,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216513,2020/21,2020-10-04,2,13,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216513,2020/21,2020-10-04,2,14,Chennai Super Kings,Punjab Kings,0.9646,Chennai Super Kings
1216513,2020/21,2020-10-04,2,15,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216513,2020/21,2020-10-04,2,16,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216513,2020/21,2020-10-04,2,17,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216513,2020/21,2020-10-04,2,18,Chennai Super Kings,Punjab Kings,1.0,Chennai Super Kings
1216514,2020/21,2020-10-03,2,11,Royal Challengers Bengaluru,Rajasthan Royals,0.8696,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,12,Royal Challengers Bengaluru,Rajasthan Royals,0.8696,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,13,Royal Challengers Bengaluru,Rajasthan Royals,0.8696,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,14,Royal Challengers Bengaluru,Rajasthan Royals,0.8696,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,15,Royal Challengers Bengaluru,Rajasthan Royals,0.8696,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,16,Royal Challengers Bengaluru,Rajasthan Royals,0.9009,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,17,Royal Challengers Bengaluru,Rajasthan Royals,0.9009,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,18,Royal Challengers Bengaluru,Rajasthan Royals,0.9789,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,19,Royal Challengers Bengaluru,Rajasthan Royals,0.9789,Royal Challengers Bengaluru
1216514,2020/21,2020-10-03,2,20,Royal Challengers Bengaluru,Rajasthan Royals,0.9789,Royal Challengers Bengaluru
1216518,2020/21,2020-10-22,2,7,Sunrisers Hyderabad,Rajasthan Royals,0.879,Sunrisers Hyderabad
1216518,2020/21,2020-10-22,2,8,Sunrisers Hyderabad,Rajasthan Royals,0.879,Sunrisers Hyderabad
1216518,2020/21,2020-10-22,2,9,Sunrisers Hyderabad,Rajasthan Royals,0.879,Sunrisers Hyderabad
1216518,2020/21,2020-10-22,2,11,Sunrisers Hyderabad,Rajasthan Royals,0.92,Sunrisers Hyderabad
1216518,2020/21,2020-10-22,2,13,Sunrisers Hyderabad,Rajasthan Royals,0.92,Sunrisers Hyderabad
