match_id,date,team_1,team_2,bookmaker_name,team_1_odds,team_2_odds,snapshot_timestamp
1216534,2020-09-21,Royal Challengers Bengaluru,Sunrisers Hyderabad,Pinnacle,2.05,1.86,2020-09-21T13:30:00Z
1216508,2020-09-23,Mumbai Indians,Kolkata Knight Riders,Pinnacle,1.76,2.2,2020-09-23T13:30:00Z
1216510,2020-09-24,Punjab Kings,Royal Challengers Bengaluru,Pinnacle,2.22,1.74,2020-09-24T13:30:00Z
1216545,2020-09-26,Sunrisers Hyderabad,Kolkata Knight Riders,Pinnacle,1.92,1.99,2020-09-26T13:30:00Z
1216527,2020-09-27,Punjab Kings,Rajasthan Royals,Pinnacle,1.96,1.94,2020-09-27T13:30:00Z
1216532,2020-09-29,Sunrisers Hyderabad,Delhi Capitals,Pinnacle,2.1,1.83,2020-09-29T13:30:00Z
1216515,2020-10-03,Delhi Capitals,Kolkata Knight Riders,Pinnacle,1.86,2.05,2020-10-03T13:30:00Z
1216542,2020-10-08,Sunrisers Hyderabad,Punjab Kings,Pinnacle,1.89,2.02,2020-10-08T13:30:00Z
1216529,2020-10-11,Delhi Capitals,Mumbai Indians,Pinnacle,2.13,1.8,2020-10-11T13:30:00Z
1216528,2020-10-13,Chennai Super Kings,Sunrisers Hyderabad,Pinnacle,1.87,2.04,2020-10-13T13:30:00Z
1216543,2020-10-14,Delhi Capitals,Rajasthan Royals,Pinnacle,1.75,2.2,2020-10-14T13:30:00Z
1216531,2020-10-15,Royal Challengers Bengaluru,Punjab Kings,Pinnacle,1.78,2.17,2020-10-15T13:30:00Z
1216526,2020-10-16,Kolkata Knight Riders,Mumbai Indians,Pinnacle,2.25,1.72,2020-10-16T13:30:00Z
1216509,2020-10-17,Chennai Super Kings,Delhi Capitals,Pinnacle,2.09,1.83,2020-10-17T13:30:00Z
1216533,2020-10-19,Chennai Super Kings,Rajasthan Royals,Pinnacle,1.87,2.05,2020-10-19T13:30:00Z
1216546,2020-10-20,Delhi Capitals,Punjab Kings,Pinnacle,1.79,2.14,2020-10-20T13:30:00Z
1216494,2020-10-21,Kolkata Knight Riders,Royal Challengers Bengaluru,Pinnacle,2.14,1.79,2020-10-21T13:30:00Z
1216518,2020-10-22,Rajasthan Royals,Sunrisers Hyderabad,Pinnacle,1.96,1.94,2020-10-22T13:30:00Z
1216521,2020-10-23,Chennai Super Kings,Mumbai Indians,Pinnacle,2.38,1.65,2020-10-23T13:30:00Z
