match_id,season,date,venue,team_1,team_2,toss_winner,toss_decision,winner,bookmaker_name,team_1_odds,team_2_odds,team_1_implied_prob,team_2_implied_prob,market_overround,team_1_market_prob,team_2_market_prob
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,,,,,,,,
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,,,,,,,
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,,,,,,,
1082594,2017,2017-04-08,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,Punjab Kings,,,,,,,,
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,,,,,,,,
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,,,,,,,
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,,,,,,,
1082598,2017,2017-04-10,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,,,,,,,,
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,,,,,,,,
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,,,,,,,
1082601,2017,2017-04-13,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,,,,,,,,
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,,,,,,,
1082603,2017,2017-04-14,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,,,,,,,
