match_id,season,venue,batting_team,bowling_team,toss_winner,toss_decision,powerplay_runs,powerplay_wickets,final_winner
1082591,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,59,1,Sunrisers Hyderabad
1082592,2017,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,61,1,Rising Pune Supergiant
1082593,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,52,1,Kolkata Knight Riders
1082594,2017,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,35,1,Kings XI Punjab
1082595,2017,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,41,2,Royal Challengers Bangalore
1082596,2017,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,40,2,Sunrisers Hyderabad
1082597,2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,59,2,Mumbai Indians
1082598,2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,23,3,Kings XI Punjab
1082599,2017,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,62,1,Delhi Daredevils
1082600,2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,34,0,Mumbai Indians
1082601,2017,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,57,1,Kolkata Knight Riders
1082602,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,41,0,Mumbai Indians
1082603,2017,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,64,2,Gujarat Lions
1082604,2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,40,2,Kolkata Knight Riders
1082605,2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,49,0,Delhi Daredevils
1082606,2017,Wankhede Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,46,1,Mumbai Indians
1082607,2017,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,55,0,Rising Pune Supergiant
1082608,2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,53,0,Kolkata Knight Riders
1082609,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,29,1,Sunrisers Hyderabad
1082610,2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,45,0,Royal Challengers Bangalore
1082611,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,39,1,Sunrisers Hyderabad
1082612,2017,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,46,1,Mumbai Indians
1082613,2017,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,65,1,Gujarat Lions
1082614,2017,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,48,2,Mumbai Indians
1082615,2017,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,45,0,Rising Pune Supergiant
1082616,2017,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,50,1,Kings XI Punjab
1082617,2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,65,2,Kolkata Knight Riders
1082618,2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,48,0,Rising Pune Supergiant
1082620,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,57,0,Kolkata Knight Riders
1082621,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,35,3,Gujarat Lions
1082622,2017,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,53,1,Kolkata Knight Riders
1082623,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,60,0,Sunrisers Hyderabad
1082624,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,43,1,Rising Pune Supergiant
1082626,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,25,3,Kings XI Punjab
1082627,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,79,0,Sunrisers Hyderabad
1082628,2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,52,2,Mumbai Indians
1082629,2017,Maharashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,55,1,Rising Pune Supergiant
1082630,2017,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,66,1,Delhi Daredevils
1082631,2017,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,41,3,Rising Pune Supergiant
1082632,2017,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,58,2,Delhi Daredevils
1082633,2017,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,35,2,Kings XI Punjab
1082634,2017,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,35,1,Rising Pune Supergiant
1082635,2017,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,60,0,Mumbai Indians
1082636,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,40,3,Kolkata Knight Riders
1082637,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,44,1,Gujarat Lions
