match_id,season,venue,batting_team,bowling_team,toss_winner,toss_decision,powerplay_runs,powerplay_wickets,final_winner,batting_team_pre_elo,bowling_team_pre_elo,elo_rating_difference,pre_match_expected_win_prob
1082591,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,59,1,Sunrisers Hyderabad,1564.99,1530.37,34.62,0.5497
1082592,2017,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,61,1,Rising Pune Supergiant,1570.02,1463.35,106.67,0.6489
1082593,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,52,1,Kolkata Knight Riders,1516.53,1549.96,-33.43,0.452
1082594,2017,Holkar Cricket Stadium,Rising Pune Supergiant,Punjab Kings,Punjab Kings,field,35,1,Punjab Kings,1476.33,1448.12,28.21,0.5405
1082595,2017,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,41,2,Royal Challengers Bengaluru,1521.36,1453.0,68.36,0.5971
1082596,2017,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,40,2,Sunrisers Hyderabad,1507.49,1574.0,-66.51,0.4054
1082597,2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,59,2,Mumbai Indians,1559.0,1557.04,1.96,0.5028
1082598,2017,Holkar Cricket Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,23,3,Punjab Kings,1529.42,1458.93,70.49,0.6001
1082599,2017,Maharashtra Cricket Association Stadium,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,62,1,Delhi Capitals,1444.94,1465.52,-20.58,0.4704
1082600,2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,34,0,Mumbai Indians,1582.11,1567.1,15.01,0.5216
1082601,2017,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,57,1,Kolkata Knight Riders,1470.93,1548.94,-78.01,0.3896
1082602,2017,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,41,0,Mumbai Indians,1517.42,1577.53,-60.11,0.4143
1082603,2017,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,64,2,Gujarat Lions,1454.93,1499.38,-44.45,0.4364
1082604,2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,40,2,Kolkata Knight Riders,1556.73,1571.68,-14.95,0.4785
1082605,2017,Feroz Shah Kotla,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,49,0,Delhi Capitals,1455.53,1463.14,-7.61,0.4891
1082606,2017,Wankhede Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,46,1,Mumbai Indians,1508.11,1585.82,-77.71,0.39
1082607,2017,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,55,0,Rising Pune Supergiant,1446.2,1509.13,-62.93,0.4104
1082608,2017,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,53,0,Kolkata Knight Riders,1465.75,1567.16,-101.41,0.3581
1082609,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,29,1,Sunrisers Hyderabad,1561.25,1452.92,108.33,0.651
1082610,2017,Saurashtra Cricket Association Stadium,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,field,45,0,Royal Challengers Bengaluru,1497.34,1500.31,-2.97,0.4957
1082611,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,39,1,Sunrisers Hyderabad,1568.23,1458.59,109.64,0.6527
1082612,2017,Holkar Cricket Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,46,1,Mumbai Indians,1445.94,1593.62,-147.68,0.2994
1082613,2017,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,65,1,Gujarat Lions,1574.32,1490.22,84.1,0.6187
1082614,2017,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,48,2,Mumbai Indians,1599.61,1451.64,147.97,0.7009
1082615,2017,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,45,0,Rising Pune Supergiant,1575.18,1457.99,117.19,0.6625
1082616,2017,Saurashtra Cricket Association Stadium,Punjab Kings,Gujarat Lions,Gujarat Lions,field,50,1,Punjab Kings,1439.95,1502.59,-62.64,0.4108
1082617,2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,65,2,Kolkata Knight Riders,1561.95,1507.43,54.52,0.5778
1082618,2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,48,0,Rising Pune Supergiant,1471.24,1605.59,-134.35,0.3157
1082620,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,57,0,Kolkata Knight Riders,1484.93,1570.39,-85.46,0.3794
1082621,2017,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,field,35,3,Gujarat Lions,1498.99,1490.81,8.18,0.5118
1082622,2017,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,53,1,Kolkata Knight Riders,1445.66,1577.98,-132.32,0.3183
1082623,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,60,0,Sunrisers Hyderabad,1561.93,1451.73,110.2,0.6535
1082624,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,43,1,Rising Pune Supergiant,1477.34,1488.75,-11.41,0.4836
1082626,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Capitals,Punjab Kings,Punjab Kings,field,25,3,Punjab Kings,1439.29,1444.8,-5.51,0.4921
1082627,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,79,0,Sunrisers Hyderabad,1568.86,1584.35,-15.49,0.4777
1082628,2017,Wankhede Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,bat,52,2,Mumbai Indians,1478.42,1591.9,-113.48,0.3423
1082629,2017,Maharashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,55,1,Rising Pune Supergiant,1501.05,1487.67,13.38,0.5192
1082630,2017,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,66,1,Delhi Capitals,1579.31,1429.45,149.86,0.7032
1082631,2017,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,41,3,Rising Pune Supergiant,1573.9,1498.05,75.85,0.6075
1082632,2017,Feroz Shah Kotla,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,58,2,Delhi Capitals,1490.67,1443.51,47.16,0.5675
1082633,2017,M Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,35,2,Punjab Kings,1454.64,1471.57,-16.93,0.4757
1082634,2017,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,35,1,Rising Pune Supergiant,1510.2,1565.25,-55.05,0.4214
1082635,2017,Feroz Shah Kotla,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,60,0,Mumbai Indians,1598.75,1454.86,143.89,0.696
1082636,2017,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,40,3,Kolkata Knight Riders,1461.08,1561.75,-100.67,0.359
1082637,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Gujarat Lions,Gujarat Lions,field,44,1,Gujarat Lions,1465.13,1479.32,-14.19,0.4796
1082638,2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,36,2,Sunrisers Hyderabad,1604.83,1553.68,51.15,0.5731
1082639,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,41,2,Punjab Kings,1455.54,1568.93,-113.39,0.3424
1082640,2017,Green Park,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,50,2,Delhi Capitals,1488.91,1448.78,40.13,0.5575
1082641,2017,Wankhede Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,71,1,Punjab Kings,1468.69,1593.37,-124.68,0.3279
1082642,2017,Feroz Shah Kotla,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,54,2,Delhi Capitals,1459.93,1521.77,-61.84,0.4119
1082643,2017,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,61,0,Sunrisers Hyderabad,1477.76,1565.14,-87.38,0.3768
1082644,2017,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,51,1,Mumbai Indians,1579.93,1555.78,24.15,0.5347
1082645,2017,Maharashtra Cricket Association Stadium,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,32,5,Rising Pune Supergiant,1482.13,1510.01,-27.88,0.46
1082646,2017,Feroz Shah Kotla,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,37,1,Royal Challengers Bengaluru,1453.9,1471.69,-17.79,0.4744
1082647,2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,33,2,Rising Pune Supergiant,1519.21,1589.24,-70.03,0.4006
1082649,2017,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,25,3,Mumbai Indians,1546.47,1577.25,-30.78,0.4558
1082650,2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,32,2,Mumbai Indians,1586.37,1531.2,55.17,0.5787
1136561,2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,39,2,Chennai Super Kings,1594.8,1586.88,7.92,0.5114
1136562,2018,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,45,1,Punjab Kings,1461.18,1472.93,-11.75,0.4831
1136563,2018,Eden Gardens,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,52,1,Kolkata Knight Riders,1464.41,1537.35,-72.94,0.3965
1136564,2018,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,48,1,Sunrisers Hyderabad,1526.27,1572.68,-46.41,0.4336
1136565,2018,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,64,2,Chennai Super Kings,1545.28,1597.11,-51.83,0.426
1136567,2018,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,54,3,Sunrisers Hyderabad,1584.57,1581.35,3.22,0.5046
1136568,2018,M.Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,50,3,Royal Challengers Bengaluru,1482.59,1456.48,26.11,0.5375
1136569,2018,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,84,0,Delhi Capitals,1574.48,1451.52,122.96,0.6699
1136570,2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,49,1,Sunrisers Hyderabad,1536.76,1591.44,-54.68,0.422
1136571,2018,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,52,1,Rajasthan Royals,1517.6,1467.23,50.37,0.572
1136572,2018,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,75,0,Punjab Kings,1471.84,1605.63,-133.79,0.3164
