threshold,scenario,total_trades,wins,losses,win_rate,total_staked,profit,roi_pct,max_drawdown,max_drawdown_pct,avg_effective_odds,avg_commission_paid,total_commission,total_slippage_cost
0.03,gross,212,171,41,0.8066,212,105.33,49.68,5.32,2.51,2.0207,0.0,0.0,0.0
0.05,gross,210,169,41,0.8048,210,105.26,50.12,5.32,2.53,2.03,0.0,0.0,0.0
0.07,gross,201,160,41,0.796,201,104.91,52.19,5.46,2.72,2.0744,0.0,0.0,0.0
0.1,gross,192,153,39,0.7969,192,106.23,55.33,4.46,2.32,2.1191,0.0,0.0,0.0
0.15,gross,176,140,36,0.7955,176,107.4,61.02,4.47,2.54,2.2068,0.0,0.0,0.0
0.03,realistic,211,170,41,0.8057,211,94.79,44.93,5.41,2.56,2.0055,0.0339,7.15,4.18
0.05,realistic,206,165,41,0.801,206,94.7,45.97,5.41,2.63,2.0295,0.0347,7.14,4.1
0.07,realistic,198,158,40,0.798,198,95.47,48.22,5.51,2.78,2.0692,0.036,7.13,3.96
0.1,realistic,188,151,37,0.8032,188,97.99,52.12,4.53,2.41,2.1197,0.0378,7.1,3.76
0.15,realistic,175,139,36,0.7943,175,97.42,55.67,4.53,2.59,2.1926,0.0401,7.02,3.5
0.03,worst_case,211,170,41,0.8057,211,88.19,41.79,5.47,2.59,1.9861,0.0496,10.47,8.28
0.05,worst_case,206,165,41,0.801,206,88.14,42.79,5.47,2.66,2.0098,0.0508,10.47,8.15
0.07,worst_case,198,158,40,0.798,198,88.98,44.94,5.54,2.8,2.0492,0.0528,10.46,7.92
0.1,worst_case,188,151,37,0.8032,188,91.64,48.74,4.58,2.44,2.0997,0.0555,10.43,7.52
0.15,worst_case,175,139,36,0.7943,175,91.34,52.19,4.58,2.62,2.1726,0.059,10.32,7.0
