window,train_start,train_end,test_year,train_rows,test_rows,test_matches,brier_score,log_loss,accuracy,avg_predicted_prob,calibration_decile_1,calibration_decile_2,calibration_decile_3,calibration_decile_4,calibration_decile_5,calibration_decile_6,calibration_decile_7,calibration_decile_8,calibration_decile_9,calibration_decile_10
1,2008,2010,2011,6504,2660,69,0.199917,0.579069,0.6594,0.4819,0.0725,0.0909,0.4167,0.2724,0.5105,0.5581,0.6171,0.8855,0.9135,
2,2009,2011,2012,7035,2887,74,0.225971,0.738349,0.601,0.4762,0.1281,0.278,0.3032,0.4063,0.5676,0.5042,0.5586,0.7921,0.8447,0.9722
3,2010,2012,2013,7848,2874,74,0.204059,0.642623,0.6663,0.4607,0.0478,0.2308,0.3763,0.4056,0.439,0.5415,0.7102,0.8208,0.902,0.96
4,2011,2013,2014,8421,2256,58,0.215593,0.615252,0.6498,0.505,0.0192,0.3628,0.3271,0.3746,0.4211,0.5099,0.581,0.6187,0.8421,0.9173
5,2012,2014,2015,8017,2070,54,0.217734,0.618116,0.6415,0.469,0.0336,0.3649,0.1343,0.4897,0.4621,0.5581,0.624,0.6928,0.7869,0.9692
6,2013,2015,2016,7200,2175,56,0.207356,0.597473,0.663,0.5092,0.0857,0.28,0.2923,0.2961,0.4406,0.4556,0.5748,0.801,0.848,0.9688
7,2014,2016,2017,6501,2183,57,0.222118,0.62866,0.6248,0.4558,0.0,0.1667,0.35,0.4453,0.4916,0.5572,0.6149,0.6667,0.8551,0.9825
8,2015,2017,2018,6428,2231,57,0.245326,0.787117,0.5836,0.4564,0.2159,0.2921,0.3907,0.5817,0.4342,0.4963,0.5966,0.7353,0.732,0.8545
9,2016,2018,2019,6589,2234,57,0.215293,0.614596,0.6392,0.4999,0.0,0.321,0.245,0.4115,0.4025,0.5043,0.5529,0.7878,0.8219,1.0
10,2017,2019,2020,6648,2188,56,0.218867,0.621283,0.6211,0.4703,0.0,0.039,0.2079,0.5383,0.4308,0.5255,0.791,0.7973,0.8462,0.9265
11,2018,2020,2021,6653,2290,59,0.217819,0.631121,0.6498,0.4886,0.1667,0.2727,0.3171,0.3048,0.4112,0.5417,0.6772,0.7823,0.8692,0.8507
12,2019,2021,2022,6712,2877,74,0.226502,0.640828,0.6288,0.4375,0.0857,0.1937,0.4515,0.4651,0.4573,0.567,0.7171,0.7603,0.8193,0.9062
13,2020,2022,2023,7355,2782,71,0.222895,0.633179,0.6114,0.4588,0.0805,0.1439,0.3506,0.4294,0.6031,0.5779,0.608,0.6619,0.7176,1.0
14,2021,2023,2024,7949,2738,71,0.215487,0.625608,0.6267,0.4683,0.0513,0.1582,0.304,0.3794,0.5526,0.5378,0.5862,0.7721,0.9178,1.0
15,2022,2024,2025,8397,2644,69,0.214436,0.671949,0.6411,0.5045,0.0429,0.1223,0.2423,0.375,0.4842,0.5166,0.6658,0.7033,0.7544,0.8372
