over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95
1-3,0-1,first_innings,moderate_advantage,696,364,0.523,0.018932,0.4859,0.5601
1-3,0-1,first_innings,moderate_disadvantage,717,333,0.4644,0.018625,0.4279,0.5009
1-3,0-1,first_innings,neutral,926,398,0.4298,0.016268,0.3979,0.4617
1-3,0-1,first_innings,strong_advantage,426,219,0.5141,0.024215,0.4666,0.5616
1-3,0-1,first_innings,strong_disadvantage,392,166,0.4235,0.024956,0.3746,0.4724
1-3,0-1,high,moderate_advantage,236,113,0.4788,0.032518,0.4151,0.5425
1-3,0-1,high,moderate_disadvantage,219,98,0.4475,0.0336,0.3816,0.5134
1-3,0-1,high,neutral,259,137,0.529,0.031016,0.4682,0.5898
1-3,0-1,high,strong_advantage,130,81,0.6231,0.042503,0.5398,0.7064
1-3,0-1,high,strong_disadvantage,120,52,0.4333,0.045236,0.3446,0.522
1-3,0-1,low,moderate_advantage,108,75,0.6944,0.044327,0.6075,0.7813
1-3,0-1,low,moderate_disadvantage,109,75,0.6881,0.044373,0.6011,0.7751
1-3,0-1,low,neutral,162,125,0.7716,0.032983,0.707,0.8362
1-3,0-1,low,strong_advantage,55,37,0.6727,0.063271,0.5487,0.7967
1-3,0-1,low,strong_disadvantage,71,47,0.662,0.056138,0.552,0.772
1-3,0-1,neutral,moderate_advantage,142,99,0.6972,0.038558,0.6216,0.7728
1-3,0-1,neutral,moderate_disadvantage,143,86,0.6014,0.040943,0.5212,0.6816
1-3,0-1,neutral,neutral,174,105,0.6034,0.037086,0.5307,0.6761
1-3,0-1,neutral,strong_advantage,76,57,0.75,0.04967,0.6526,0.8474
1-3,0-1,neutral,strong_disadvantage,79,48,0.6076,0.054936,0.4999,0.7153
1-3,0-1,very_high,moderate_advantage,185,79,0.427,0.036367,0.3557,0.4983
1-3,0-1,very_high,moderate_disadvantage,158,64,0.4051,0.039055,0.3286,0.4816
1-3,0-1,very_high,neutral,223,96,0.4305,0.033157,0.3655,0.4955
1-3,0-1,very_high,strong_advantage,95,31,0.3263,0.048104,0.232,0.4206
1-3,0-1,very_high,strong_disadvantage,96,29,0.3021,0.046864,0.2102,0.394
1-3,0-1,very_low,moderate_advantage,47,39,0.8298,0.054817,0.7224,0.9372
1-3,0-1,very_low,moderate_disadvantage,30,18,0.6,0.089443,0.4247,0.7753
1-3,0-1,very_low,neutral,97,83,0.8557,0.035679,0.7858,0.9256
1-3,0-1,very_low,strong_advantage,28,22,0.7857,0.077546,0.6337,0.9377
1-3,0-1,very_low,strong_disadvantage,41,38,0.9268,0.040678,0.8471,1.0
1-3,2-3,first_innings,moderate_advantage,39,11,0.2821,0.072061,0.1409,0.4233
