match_id,date,innings_number,over_number,batting_team,bowling_team,model_probability,market_prob_1,edge,fetch_timestamp,estimated_over_end_time,timestamp_vs_over_delta_minutes,leakage_risk,leakage_severity,single_ts_per_innings,bookmaker_used,market_odds_1,effective_odds_after_slippage,edge_after_delay_penalty
1473507,2025-05-27,2,4,Royal Challengers Bengaluru,Lucknow Super Giants,0.8516,0.422983,0.428617,2025-05-27T16:44:00Z,2025-05-27T16:00:00Z,44.0,critical,Fetch timestamp >5min after over end — likely post-result odds | SAME timestamp for all overs in innings,True,betfair_ex_eu,2.36,2.34,0.418617
1473507,2025-05-27,2,16,Royal Challengers Bengaluru,Lucknow Super Giants,0.9742,0.422983,0.551217,2025-05-27T16:44:00Z,2025-05-27T16:48:00Z,-4.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,2.36,2.34,0.541217
1473507,2025-05-27,2,17,Royal Challengers Bengaluru,Lucknow Super Giants,0.9742,0.422983,0.551217,2025-05-27T16:44:00Z,2025-05-27T16:52:00Z,-8.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,2.36,2.34,0.541217
1473506,2025-05-26,2,11,Punjab Kings,Mumbai Indians,0.8696,0.526316,0.343284,2025-05-26T16:40:00Z,2025-05-26T16:28:00Z,12.0,critical,Fetch timestamp >5min after over end — likely post-result odds | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.333284
1473506,2025-05-26,2,12,Punjab Kings,Mumbai Indians,0.9646,0.526316,0.438284,2025-05-26T16:40:00Z,2025-05-26T16:32:00Z,8.0,critical,Fetch timestamp >5min after over end — likely post-result odds | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.428284
1473506,2025-05-26,2,13,Punjab Kings,Mumbai Indians,0.9646,0.526316,0.438284,2025-05-26T16:40:00Z,2025-05-26T16:36:00Z,4.0,high,Fetch timestamp 1-5min after over end — probable leakage | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.428284
1473506,2025-05-26,2,14,Punjab Kings,Mumbai Indians,0.9646,0.526316,0.438284,2025-05-26T16:40:00Z,2025-05-26T16:40:00Z,0.0,medium,Fetch timestamp near over end — possible contemporaneous | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.428284
1473506,2025-05-26,2,15,Punjab Kings,Mumbai Indians,0.9109,0.526316,0.384584,2025-05-26T16:40:00Z,2025-05-26T16:44:00Z,-4.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.374584
1473506,2025-05-26,2,16,Punjab Kings,Mumbai Indians,0.94,0.526316,0.413684,2025-05-26T16:40:00Z,2025-05-26T16:48:00Z,-8.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.403684
1473506,2025-05-26,2,17,Punjab Kings,Mumbai Indians,0.94,0.526316,0.413684,2025-05-26T16:40:00Z,2025-05-26T16:52:00Z,-12.0,medium,Fetch timestamp well before over — stale odds possible | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.403684
1473506,2025-05-26,2,18,Punjab Kings,Mumbai Indians,0.9789,0.526316,0.452584,2025-05-26T16:40:00Z,2025-05-26T16:56:00Z,-16.0,medium,Fetch timestamp well before over — stale odds possible | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.442584
1473506,2025-05-26,2,19,Punjab Kings,Mumbai Indians,0.9789,0.526316,0.452584,2025-05-26T16:40:00Z,2025-05-26T17:00:00Z,-20.0,medium,Fetch timestamp well before over — stale odds possible | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.89,1.87,0.442584
1485779,2025-05-24,2,18,Delhi Capitals,Punjab Kings,0.8545,0.24812,0.60638,2025-05-24T16:56:00Z,2025-05-24T16:56:00Z,0.0,medium,Fetch timestamp near over end — possible contemporaneous | SAME timestamp for all overs in innings,True,betfair_ex_eu,4.0,3.98,0.59638
1485779,2025-05-24,2,19,Delhi Capitals,Punjab Kings,0.9851,0.24812,0.73698,2025-05-24T16:56:00Z,2025-05-24T17:00:00Z,-4.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,4.0,3.98,0.72698
1485779,2025-05-24,2,20,Delhi Capitals,Punjab Kings,0.858,0.24812,0.60988,2025-05-24T16:56:00Z,2025-05-24T17:04:00Z,-8.0,medium,Fetch timestamp before over end — likely clean | SAME timestamp for all overs in innings,True,betfair_ex_eu,4.0,3.98,0.59988
1473500,2025-05-20,2,8,Rajasthan Royals,Chennai Super Kings,0.8876,0.669643,0.217957,2025-05-20T16:36:00Z,2025-05-20T16:16:00Z,20.0,critical,Fetch timestamp >5min after over end — likely post-result odds | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.48,1.46,0.207957
1473500,2025-05-20,2,11,Rajasthan Royals,Chennai Super Kings,0.9615,0.669643,0.291857,2025-05-20T16:36:00Z,2025-05-20T16:28:00Z,8.0,critical,Fetch timestamp >5min after over end — likely post-result odds | SAME timestamp for all overs in innings,True,betfair_ex_eu,1.48,1.46,0.281857
